epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2763,1.45485,2.7496,1.26867,0.33914,0.36111,0.23916,0.15209,1.50383,2.04325,1.24643,0.000299259,0.000299259,0.000299259
2,42.3157,1.43464,1.81193,1.2409,0.48695,0.25446,0.21106,0.11668,1.60276,2.04167,1.38398,0.000590335,0.000590335,0.000590335
3,59.1489,1.45188,1.62674,1.25314,0.76993,0.27079,0.34752,0.20211,1.47053,1.92766,1.27347,0.000869411,0.000869411,0.000869411
4,76.9729,1.4332,1.53473,1.2318,0.80466,0.26961,0.32562,0.18864,1.61915,1.97068,1.40172,0.000855005,0.000855005,0.000855005
5,93.4241,1.39618,1.52202,1.2442,0.66251,0.3291,0.40773,0.23884,1.4695,1.50515,1.23742,0.000837007,0.000837007,0.000837007
6,111.444,1.34727,1.3218,1.18682,0.58161,0.39383,0.43085,0.26886,1.4687,1.38204,1.23712,0.000819009,0.000819009,0.000819009
7,129.97,1.34904,1.3289,1.20818,0.62716,0.45085,0.47312,0.28947,1.45168,1.32843,1.19408,0.000801011,0.000801011,0.000801011
8,148.053,1.30176,1.19966,1.19972,0.5513,0.48796,0.5149,0.34162,1.41657,1.27476,1.2073,0.000783013,0.000783013,0.000783013
9,166.238,1.2733,1.2108,1.17261,0.69526,0.48414,0.54144,0.35446,1.37248,1.2689,1.17299,0.000765014,0.000765014,0.000765014
10,183.639,1.28581,1.13334,1.15095,0.64232,0.49983,0.53094,0.37612,1.35032,1.26437,1.11021,0.000747016,0.000747016,0.000747016
11,200.809,1.26921,1.1181,1.14488,0.64403,0.43665,0.50216,0.3173,1.39439,1.40203,1.17359,0.000729018,0.000729018,0.000729018
12,218.277,1.21521,1.09329,1.12517,0.63034,0.58047,0.59289,0.37627,1.3094,1.02823,1.13003,0.00071102,0.00071102,0.00071102
13,236.122,1.20558,1.07604,1.13018,0.70192,0.59261,0.6322,0.39579,1.28161,1.09754,1.13042,0.000693022,0.000693022,0.000693022
14,254.251,1.21083,1.01851,1.11973,0.72706,0.52918,0.56352,0.34504,1.34794,1.40435,1.14595,0.000675023,0.000675023,0.000675023
15,271.529,1.18034,0.98998,1.10996,0.59886,0.62715,0.59616,0.38843,1.31574,1.0838,1.10753,0.000657025,0.000657025,0.000657025
16,287.971,1.18043,0.96867,1.11607,0.63046,0.60381,0.59353,0.3814,1.31953,1.20813,1.11133,0.000639027,0.000639027,0.000639027
17,305.175,1.15641,0.94879,1.08741,0.80973,0.51952,0.62183,0.40404,1.25726,1.09954,1.11396,0.000621029,0.000621029,0.000621029
18,322.835,1.15257,0.91632,1.09342,0.68344,0.67853,0.68017,0.42008,1.27233,1.00787,1.1039,0.000603031,0.000603031,0.000603031
19,341.141,1.19414,0.91746,1.09048,0.73562,0.65576,0.68648,0.43147,1.24449,1.06704,1.08679,0.000585032,0.000585032,0.000585032
20,358.457,1.11543,0.88706,1.07394,0.8349,0.62372,0.70072,0.46561,1.27135,1.03121,1.10077,0.000567034,0.000567034,0.000567034
21,375.977,1.10373,0.89086,1.0772,0.6886,0.67311,0.67378,0.43827,1.25614,0.98076,1.07495,0.000549036,0.000549036,0.000549036
22,393.006,1.09752,0.84652,1.07703,0.60207,0.66941,0.6604,0.43197,1.267,1.00989,1.07534,0.000531038,0.000531038,0.000531038
23,410.079,1.11485,0.85238,1.05708,0.57792,0.7418,0.67086,0.43867,1.23954,0.95068,1.0508,0.00051304,0.00051304,0.00051304
24,426.97,1.04444,0.82087,1.05383,0.74116,0.688,0.70374,0.45263,1.23027,0.978,1.04859,0.000495041,0.000495041,0.000495041
25,443.852,1.08498,0.77907,1.04131,0.73118,0.69882,0.7063,0.44899,1.22284,0.91439,1.04745,0.000477043,0.000477043,0.000477043
26,460.477,1.067,0.81336,1.03916,0.70149,0.71724,0.72423,0.4712,1.25998,0.98421,1.07583,0.000459045,0.000459045,0.000459045
27,477.55,1.02424,0.76018,1.03978,0.72194,0.74207,0.72242,0.45992,1.22674,0.9809,1.06301,0.000441047,0.000441047,0.000441047
28,494.566,1.01351,0.73161,1.03017,0.76375,0.66899,0.71569,0.4715,1.22692,0.92441,1.08002,0.000423049,0.000423049,0.000423049
29,513.848,0.97694,0.69843,1.03015,0.78551,0.70056,0.75216,0.49427,1.17758,0.96152,1.04803,0.00040505,0.00040505,0.00040505
30,531.154,1.01948,0.7329,1.01602,0.63966,0.7427,0.69821,0.45537,1.19002,0.8802,1.05707,0.000387052,0.000387052,0.000387052
31,548.337,0.97874,0.7357,1.04017,0.72186,0.71803,0.7397,0.48376,1.198,0.92091,1.06552,0.000369054,0.000369054,0.000369054
32,565.546,0.99636,0.70866,1.0136,0.74584,0.67813,0.7269,0.47322,1.18893,0.97408,1.05,0.000351056,0.000351056,0.000351056
33,582.889,0.98223,0.68642,1.01153,0.76999,0.71686,0.74351,0.48167,1.17201,0.87868,1.05114,0.000333058,0.000333058,0.000333058
34,600.658,0.94517,0.68584,1.01467,0.78277,0.7307,0.75684,0.49819,1.17734,0.90655,1.05461,0.000315059,0.000315059,0.000315059
35,618.997,0.9383,0.65113,1.00347,0.72908,0.75306,0.72402,0.4638,1.16461,0.91541,1.04098,0.000297061,0.000297061,0.000297061
36,636.374,0.92101,0.64092,0.98794,0.76588,0.71653,0.74321,0.46797,1.18374,0.86935,1.04522,0.000279063,0.000279063,0.000279063
37,653.116,0.88847,0.63473,0.98884,0.64553,0.75217,0.73967,0.47712,1.17097,0.88942,1.03071,0.000261065,0.000261065,0.000261065
38,669.712,0.91124,0.67329,0.99102,0.72208,0.7088,0.7234,0.45078,1.16349,0.88707,1.03198,0.000243067,0.000243067,0.000243067
39,686.532,0.8854,0.62721,0.9674,0.72481,0.76018,0.72664,0.45841,1.17429,0.83974,1.03548,0.000225068,0.000225068,0.000225068
40,703.238,0.89836,0.62145,0.98816,0.83069,0.67438,0.76296,0.47386,1.17029,0.86773,1.03568,0.00020707,0.00020707,0.00020707
41,752.226,0.94215,0.62839,0.94519,0.72187,0.65942,0.71477,0.46833,1.15866,0.88301,1.02378,0.000189072,0.000189072,0.000189072
42,769.412,0.93248,0.6211,0.95301,0.76641,0.70223,0.73076,0.46618,1.17293,0.8215,1.03711,0.000171074,0.000171074,0.000171074
43,790.898,0.92916,0.59554,0.9348,0.77248,0.71694,0.74097,0.47745,1.14704,0.80995,1.01977,0.000153076,0.000153076,0.000153076
44,809.074,0.90054,0.59262,0.93278,0.7714,0.70927,0.73419,0.47756,1.17704,0.83831,1.04801,0.000135077,0.000135077,0.000135077
